,Final_Grade_f,Total_Points_f,Major,Year,Extra_f ,Exam_1_f,Exam_2_f,Exam_2_AVE_f,Exam_2_Retake_f,Exam_3_f,Exam_Total_f,Final_Exam_f,Final_Exam_Scaled_f,Grade_s,Total_Points_s,Extra_Credit_1_s,Exam_1_s,Exam_2_s,Extra_Credit_2_s,Exam_3_s,Exam_3_Scaled_s,Final_Exam_s,Final_Scaled_s,Avg_of_3_Exams_s,Exam_total_s
55,B-,797.0,Computer Science,Junior,15.0,154.0,150.0,157.5,165.0,146.0,464.0,8.0,118.0,,,,,,,,,,,,
56,B,856.0,Biology,Senior,15.0,123.0,149.0,170.0,191.0,148.0,465.0,13.0,176.0,B,846.0,1.0,143.0,234.0,15.0,105.0,185.71,130.0,213.0,188.0,607.0
57,C-,705.0,Mechanical Engineering,Sophomore,5.0,128.0,132.0,132.0,132.0,106.0,382.0,8.0,118.0,,,,,,,,,,,,
58,B+,882.0,Biology,Sophomore,10.0,168.0,118.0,159.0,200.0,164.0,496.0,13.0,176.0,B-,787.0,1.5,150.0,161.0,25.0,125.0,214.29,120.0,200.0,175.0,550.0
59,,,,,,,,,,,,,,C,715.0,2.0,163.0,166.0,25.0,91.0,165.71,105.0,181.0,165.0,497.0
60,B-,807.0,Non Degree - Aspirations,First Year,10.0,140.0,89.0,141.0,193.0,102.0,409.0,14.0,188.0,,,,,,,,,,,,
61,,,,,,,,,,,,,,C-,651.0,2.0,140.0,126.0,,118.0,204.29,70.0,138.0,157.0,501.0
62,C+,786.0,Engineering ,First Year,,141.0,125.0,152.0,179.0,126.0,433.0,11.0,153.0,C-,601.0,,115.0,126.0,,72.0,138.57,120.0,200.0,127.0,391.0
63,,,,,,,,,,,,,,,,1.0,142.0,,,,,,,142.0,142.0
64,B+,883.0,Non-Degree STC,Sophomore,,191.0,171.0,182.0,193.0,170.0,554.0,9.0,129.0,,,,,,,,,,,,
65,D,657.0,Undeclared,Senior,10.0,143.0,64.0,118.0,172.0,84.0,376.0,4.0,71.0,D,591.0,0.0,86.0,126.0,,85.0,157.14,100.0,175.0,123.0,406.0
66,,,,,,91.0,40.0,40.0,,,,,,,,,,,,,,,,,
