,Major_x,Final_Grade_f,Total_Points_f,Exam_1_f,Exam_1_Scaled_f,HW_1_f,Quiz_1_f,Exam_2_f,Exam_2_Scaled_f,hw_f,Exam_3_f,Exam_3_Scaled_f,Final_Exam_Raw_f,Final_Exam_Scaled_f,Final_Grade_s,Total_Points_s,Exam_1_s,Extra_Credit_s,Exam_2_s,Exam_3_s,Exam_3_Scaled_s,Avg_of_3_exams_s,Total_Exam_Score_s,Replace_lowest_with_avg_s,Final_Exam_Raw_s,Final_Exam_Scaled_s
72,Sci/Phy/Ugrad/FA - Chemistry-BS,L,469.0,22.0,108.0,,,36,65.0,,,0.0,,22.8571428571,,,,,,,,,,,,
73,Sci/Phy/Ugrad/FA - Biochemistry,C-,708.0,21.0,104.0,3.0,,38,69.0,,74.0,148.0,19.0,131.4285714286,,,,,,,,,,,,
74,Sci/Phy/Ugrad/FA - Mechanical Engineering,C-,700.0,19.0,96.0,2.0,6.0,44,80.0,7.0,69.0,138.0,19.0,131.4285714286,,,,,,,,,,,,
75,Sci/Phy/Ugrad/FA - Chemistry-BS,,350.0,16.0,84.0,0.0,,,0.0,,,0.0,,22.8571428571,,,,,,,,,,,,
76,Sci/Phy/Ugrad/FA - Electrical Engineering,D,643.0,19.0,96.0,0.0,3.0,42,76.0,4.0,68.0,136.0,11.0,85.7142857143,,,,,,,,,,,,
77,Undeclared/Ugrad/FA - Undeclared,B,856.0,46.0,204.0,1.0,6.0,52,95.0,2.0,59.0,118.0,26.0,171.4285714286,F ,451.0,66.0,13.0,103.0,24.0,30.0,66.0,235.0,288.0,11.0,150.0
78,Sci/Phy/Ugrad/FA - Physics/Mathematics,A,956.0,44.0,196.0,6.0,8.0,86,156.0,12.0,95.0,190.0,22.0,148.5714285714,A,924.0,175.0,18.0,222.0,146.0,182.5,193.0,598.0,656.0,21.0,250.0
79,Sci/Life/Ugrad/FA - Biology,,265.0,,20.0,,,,0.0,,,0.0,,22.8571428571,,,,,,,,,,,,
80,Sci/Phy/Ugrad/FA - Transfer Prgrm in Engineering,C,759.0,22.0,108.0,0.0,0.0,34,62.0,2.0,90.0,180.0,20.0,137.1428571429,,,,,,,,,,,,
81,,,,,,,,,,,,,,,B ,837.0,223.0,,,105.0,131.25,177.0,577.0,617.0,18.0,220.0
82,Sci/Phy/Ugrad/FA - Mechanical Engineering,B-,819.0,27.0,128.0,1.0,1.0,70,127.0,4.0,80.0,160.0,26.0,171.4285714286,F ,534.0,87.0,5.0,115.0,109.0,136.25,113.0,364.0,409.0,8.0,120.0
83,Sci/Phy/Ugrad/FA - Mechanical Engineering,B-,800.0,29.0,136.0,6.0,1.0,75,136.0,6.0,78.0,156.0,20.0,137.1428571429,F ,519.0,139.0,,95.0,85.0,106.25,113.0,359.0,399.0,8.0,120.0
84,Sci/Life/Ugrad/FA - Environmental Science - BS,B+,892.0,40.0,180.0,5.0,9.0,89,162.0,7.0,69.0,138.0,23.0,154.2857142857,,,,,,,,,,,,
85,Sci/Phy/Ugrad/FA - Mechanical Engineering,C,755.0,30.0,140.0,2.0,,58,105.0,1.0,69.0,138.0,19.0,131.4285714286,F ,431.0,79.0,,95.0,77.0,96.25,90.0,281.0,321.0,7.0,110.0
86,Sci/Phy/Ugrad/FA - Mechanical Engineering,B,852.0,32.0,148.0,4.0,7.0,88,160.0,,85.0,170.0,20.0,137.1428571429,C-,698.0,132.0,16.0,204.0,114.0,142.5,160.0,506.0,562.0,8.0,120.0
87,NonDeg/Ugrad/NonFA - Non Degree - Undergraduate,A,937.0,38.0,172.0,6.0,6.0,88,160.0,8.0,91.0,182.0,27.0,177.1428571429,,,,,,,,,,,,
88,Sci/Life/Ugrad/FA - Biology,B-,795.0,33.0,152.0,0.0,3.0,25,45.0,4.0,71.0,142.0,25.0,165.7142857143,,,,,,,,,,,,
89,Sci/Life/Ugrad/FA - Biology,B,848.0,35.0,160.0,3.0,,81,147.0,,82.0,164.0,22.0,148.5714285714,C-,694.0,164.0,,167.0,102.0,127.5,153.0,484.0,524.0,13.0,170.0
90,Sci/Phy/Ugrad/FA - Biochemistry,B+,876.0,34.0,156.0,2.0,6.0,51,93.0,10.0,83.0,166.0,28.0,182.8571428571,,,,,,,,,,,,
91,Sci/Phy/Ugrad/FA - Biochemistry,L,531.0,33.0,152.0,,8.0,34,62.0,,,0.0,,22.8571428571,,,,,,,,,,,,
92,,,,,,,,,,,,,,,F ,332.0,41.0,,125.0,67.0,83.75,83.0,292.0,332.0,,
93,NonDeg/Ugrad/NonFA - Non Degree - Undergraduate,C-,713.0,43.0,192.0,2.0,,74,135.0,,57.0,114.0,,22.8571428571,,,,,,,,,,,,
94,NonDeg/Ugrad/NonFA - Non Degree - Undergraduate,F ,557.0,23.0,112.0,,2.0,41,75.0,4.0,20.0,40.0,9.0,74.2857142857,,,,,,,,,,,,
95,Sci/Phy/Ugrad/FA - Transfer Prgrm in Engineering,F ,573.0,20.0,100.0,2.0,1.0,14,25.0,3.0,51.0,102.0,9.0,74.2857142857,,,,,,,,,,,,
96,Sci/Life/Ugrad/FA - Biology/Music,B,856.0,33.0,152.0,2.0,8.0,82,149.0,7.0,88.0,176.0,20.0,137.1428571429,B ,844.0,205.0,,194.0,148.0,185.0,195.0,594.0,634.0,17.0,210.0
97,Sci/Phy/Ugrad/FA - Computer Science,,411.0,27.0,128.0,,2.0,,0.0,,,0.0,,22.8571428571,,,,,,,,,,,,
98,Undeclared/Ugrad/FA - Undeclared,F ,542.0,20.0,100.0,4.0,0.0,10,18.0,2.0,38.0,76.0,10.0,80.0,,,,,,,,,,,,
99,,,,,,,,,,,,,,,D-,607.0,123.0,,120.0,116.0,145.0,129.0,397.0,437.0,13.0,170.0
100,Sci/Phy/Ugrad/FA - Physics,A,991.0,42.5,190.0,6.0,9.0,92,167.0,8.0,98.0,196.0,28.0,182.8571428571,A,940.0,138.0,15.0,223.0,172.0,215.0,192.0,630.0,685.0,20.0,240.0
